ticket_id,customer_id,order_id,issue_type,ticket_text,priority,status,channel,location,assigned_team,payment_method,customer_tier,requires_escalation,sla_breach,resolution_time_hours,created_at
DEL-TKT0000,CUST9752,ORD65426,Reporting - Missing Data,The weekly sales performance report for Region East is missing data entirely for Store 022 and Store 025. Data gap needs urgent attention for leadership review.,High,Open,Mobile App,Delhi,Customer Support,Debit Card,Platinum,Yes,Yes,70,2026-05-19 11:41:07
BEN-TKT0001,CUST7479,ORD23549,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Mobile App,Bengaluru,Logistics Team,Wallet,Platinum,Yes,No,36,2026-05-24 11:41:07
PUN-TKT0002,CUST3992,ORD44473,POS - Transaction Error,Customer unable to complete purchase at Register 4. System displays 'Payment Processing Failure' for all card types. Affecting transactions.,High,Open,Email,Pune,Fraud Investigation,UPI,Silver,No,No,64,2026-05-09 08:41:07
PUN-TKT0003,CUST7933,ORD14515,E-commerce - Website Bug,Online customers reporting that the 'Add to Cart' button is non-functional for products within the 'Electronics' category. Affecting sales.,High,Open,Chat,Pune,Logistics Team,Credit Card,Gold,Yes,No,46,2026-05-03 01:41:07
DEL-TKT0004,CUST5136,ORD99151,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Chat,Delhi,Payment Support,Debit Card,Silver,Yes,Yes,7,2026-05-24 08:41:07
CHE-TKT0005,CUST8390,ORD79205,Supply Chain - Delivery Shortage,"Receiving manifest for yesterday's shipment (PO 123456) indicates 10 cartons of SKU 45678, but only 7 were physically received. Missing 3 cartons.",Medium,Open,Mobile App,Chennai,Logistics Team,Debit Card,Gold,Yes,Yes,48,2026-05-18 14:41:07
DEL-TKT0006,CUST6448,ORD97239,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Phone,Delhi,Warehouse Operations,Wallet,Platinum,No,No,20,2026-05-10 02:41:07
BEN-TKT0007,CUST7541,ORD70279,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Email,Bengaluru,Logistics Team,Wallet,Gold,No,No,10,2026-05-07 03:41:07
PUN-TKT0008,CUST3014,ORD54382,E-commerce - Email Notification,Customers are reporting not receiving order confirmation emails or shipping notifications for their recent online purchases. Appears to be a system-wide issue.,High,Open,Mobile App,Pune,Fraud Investigation,UPI,Platinum,Yes,Yes,2,2026-05-01 05:41:07
BEN-TKT0009,CUST4845,ORD15994,POS - Return Error,"Customer attempting a return at Register 1. System states 'Item not found in purchase history' despite valid receipt. Manual override necessary, but system issue needs resolution.",Medium,Open,Chat,Bengaluru,Logistics Team,Debit Card,Silver,Yes,No,26,2026-04-30 03:41:07
